market_and_exchange_names
MT BELV NAT GASOLINE OPIS - NEW YORK MERCANTILE EXCHANGE
MT BELV NORM BUTANE OPIS - NEW YORK MERCANTILE EXCHANGE
MT BELVIEU ETHANE OPIS - NEW YORK MERCANTILE EXCHANGE
"NANO ETHER - COINBASE DERIVATIVES, LLC"
NAT GAS ICE LD1 - ICE FUTURES ENERGY DIV
NAT GAS ICE PEN - ICE FUTURES ENERGY DIV
NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE
NAT GASLNE OPIS MT B NONTET FP - ICE FUTURES ENERGY DIV
NGPL MIDCONT BASIS - ICE FUTURES ENERGY DIV
NGPL TXOK BASIS - ICE FUTURES ENERGY DIV
NNG VENTURA BASIS - ICE FUTURES ENERGY DIV
NWP ROCKIES FIN BASIS - ICE FUTURES ENERGY DIV
"Nano Bitcoin - COINBASE DERIVATIVES, LLC"
ONEOK GAS TRANSPORTATION BASIS - ICE FUTURES ENERGY DIV
PANHANDLE BASIS - ICE FUTURES ENERGY DIV
PG&E - CITYGATE (INDEX) - ICE FUTURES ENERGY DIV
PG&E CITYGATE FIN BASIS - ICE FUTURES ENERGY DIV
PROPANE - NEW YORK MERCANTILE EXCHANGE
PROPANE ARGUS FAR EAST MINI - ICE FUTURES ENERGY DIV
PROPANE ARGUS SAUDI CP FP - ICE FUTURES ENERGY DIV
PROPANE ARGUS SAUDI CP MINI - ICE FUTURES ENERGY DIV
PROPANE NON-LDH MT BEL - NEW YORK MERCANTILE EXCHANGE
PROPANE OPIS CONWAY INWELL FP - ICE FUTURES ENERGY DIV
PROPANE OPIS MT BELV NONTET FP - ICE FUTURES ENERGY DIV
PROPANE OPIS MT BELVIEU TET FP - ICE FUTURES ENERGY DIV
REX ZONE 3 BASIS - ICE FUTURES ENERGY DIV
REX ZONE 3 INDEX - ICE FUTURES ENERGY DIV
SOCAL BORDER FIN BASIS - ICE FUTURES ENERGY DIV
SOCAL CITYGATE FINANCIAL BASIS - ICE FUTURES ENERGY DIV
SONAT - TIER 1 POOL (ZONE 0) - ICE FUTURES ENERGY DIV
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE
TCO Basis - ICE FUTURES ENERGY DIV
TETCO M2 Basis (Receipts) - ICE FUTURES ENERGY DIV
TETCO M3 BASIS - ICE FUTURES ENERGY DIV
TETCO M3 INDEX - ICE FUTURES ENERGY DIV
TETCO WLA BASIS - ICE FUTURES ENERGY DIV
TGT ZONE 1 BASIS - ICE FUTURES ENERGY DIV
TRANSCO LEIDY BASIS - ICE FUTURES ENERGY DIV
TRANSCO STATION 85-ZONE 4 BASI - ICE FUTURES ENERGY DIV
TRANSCO STN 85 MONTHLY INDEX - ICE FUTURES ENERGY DIV
TRANSCO ZONE 6 BASIS - ICE FUTURES ENERGY DIV
TRANSCO ZONE 6 MONTHLY INDEX - ICE FUTURES ENERGY DIV
Transco Zone 5 South Basis - ICE FUTURES ENERGY DIV
WAHA FIN BASIS - ICE FUTURES ENERGY DIV
WAHA INDEX - ICE FUTURES ENERGY DIV
